Id,gender,age,status,income,visitNo,method,timeSpend,location,membershipCard,itemPurchaseCoffee,itempurchaseCold,itemPurchasePastries,itemPurchaseJuices,itemPurchaseSandwiches,itemPurchaseOthers,spendPurchase,productRate,priceRate,promoRate,ambianceRate,wifiRate,serviceRate,chooseRate,promoMethodApp,promoMethodSoc,promoMethodEmail,promoMethodDeal,promoMethodFriend,promoMethodDisplay,promoMethodBillboard,promoMethodOthers,loyal,0,1,2,3,4,5,6,7
25,0,3,1,3,3,0,2,2,1,1,1,1,1,1,1,2,4,3,4,4,3,3,5,1,1,1,1,1,1,1,1,0,2.1162576271630353,0.9262540888275571,2.0012078804047344,-0.16279139785890545,1.1628972860863684,-0.04160035538999246,-0.4398734708322358,0.2713742833544416
26,0,2,2,4,2,0,1,1,0,1,1,1,1,1,1,2,4,3,1,4,4,5,4,1,1,1,1,1,1,1,1,0,1.2464031423331214,0.3629192771925434,-1.1125408825382974,-0.7823167799925951,-0.2955371230836041,0.5573575563544194,0.07979439132384566,-0.5382758415335153
27,0,2,2,4,3,1,0,1,1,1,1,1,1,1,1,1,4,2,4,4,4,4,2,1,1,1,1,1,1,1,0,1,1.2695113224096921,0.5101121670234707,-1.6016399589135901,-0.16156053982161356,-0.3477791667239025,0.7315120056621649,-0.158197101231255,-1.0039835208878936
28,0,1,1,0,2,2,0,2,1,1,1,1,1,1,1,2,5,3,4,4,3,4,3,1,1,1,1,1,1,1,1,0,0.1948585940452489,0.10986815383438725,0.26440908184454986,0.03234506972445416,-0.3292714820683114,0.5442958984248789,-0.5456903053825404,0.7240168393634646
29,0,3,1,4,1,1,0,1,0,1,1,1,1,1,1,3,4,5,3,3,3,4,5,1,1,1,1,1,1,1,1,0,2.0441347302986803,1.1841792510689884,-0.12469016186344223,0.7037446842755476,-0.6138084139636789,1.4742734206783379,0.14215724076808758,-0.33326306204817413
30,1,1,2,2,3,0,1,1,0,1,1,1,1,1,1,1,5,5,5,5,3,5,5,1,1,1,1,1,1,1,1,0,0.12171090807116679,-0.4847263887544277,-0.18844050359066505,0.21720298425446877,-0.184484901163757,-0.8045330477577123,0.29593185214373513,0.45135379458059666
31,1,1,2,1,2,2,1,2,0,1,1,1,1,1,1,2,3,1,4,4,3,4,4,1,1,1,1,1,1,1,1,0,-0.17473530555929961,-0.9891046276107256,0.25416347115950016,-0.0236506923453604,-0.10342454093431232,0.25764714526753485,-0.029565255888046704,-0.4539712408196431
32,1,1,2,2,1,1,0,0,0,1,1,1,1,1,1,2,4,3,3,3,2,3,4,1,1,1,1,1,1,1,1,0,0.14481908814773747,-0.3375334989235004,-0.6775395799659578,0.8379592244254503,-0.2367269448040554,-0.6303785984499668,0.05794035958863447,-0.0143538847737818
33,1,2,2,1,3,2,0,2,1,1,1,1,1,1,1,2,2,3,5,5,3,5,5,1,1,1,1,1,1,1,1,0,0.17111517625503286,-0.9139251967684439,-0.3270754681838554,-0.3516627696854819,0.33118973536006907,0.2372504295626422,-0.22714735564427896,-0.6165770737171926
34,1,1,2,1,3,0,1,1,0,1,1,1,1,1,1,1,3,2,3,3,3,4,3,1,1,1,1,1,1,1,1,1,-0.004264080483155422,-0.7649903858329714,0.3472561168617862,-0.26681065146016114,-0.2728333986535177,-0.08556199521577848,0.682737528505484,-0.3426961181345347
35,1,1,2,1,3,2,0,0,1,1,1,1,1,1,1,1,3,4,4,3,4,4,3,1,1,1,1,1,1,1,1,0,-0.17473530555929961,-0.9891046276107256,0.25416347115950016,-0.0236506923453604,-0.10342454093431232,0.25764714526753485,-0.029565255888046704,-0.4539712408196431
36,1,1,0,0,3,2,0,2,1,1,1,1,1,1,1,1,4,2,4,4,3,4,1,1,1,1,1,1,1,1,1,1,-0.7698908791709248,0.03265824667132822,0.14777944904655205,0.1471504990596295,0.09868211569777408,0.32729412769333294,-0.33271649193929537,0.2035998531255518
37,1,1,1,0,3,2,0,0,1,1,1,1,1,1,1,1,3,3,4,4,5,5,2,1,1,1,1,1,1,1,1,0,-0.11092181237963301,-0.15873721287037232,0.29432408709436286,0.301702029233686,-0.22045576337211198,0.7783250843704056,-0.40541908954589795,0.7272217072498277
38,0,0,0,0,3,0,2,2,1,1,1,1,1,1,1,1,5,2,3,4,4,3,5,1,1,1,1,1,1,1,1,0,-0.555644329459391,1.310758275933241,0.1510124779586611,-0.5180693393891787,0.007823361892317082,-0.3756908256129158,0.28599056968133674,-0.21578482931395512
39,0,1,2,0,3,2,0,2,0,1,1,1,1,1,1,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,0,-0.14919019584898086,-0.22870470227557105,0.03228952901176569,-0.1491019781340641,0.016697158954194297,-0.008808440714294208,-0.4734610961807365,-0.012297067502707561
